fecha,ubicacion,id_camera,ACCIDENTE,Gravedad_nombre,con_embriaguez,con_persona_mayor,con_embarazo,latitud,longitud,year
2018-01-02,KR 7-CL 112 2,DEI-034/CAM-01,73,Solo Daños,NO,SI,,4.69079547899997,-74.034008617,2018
2018-01-02,KR 7-CL 112 2,DEI-034/CAM-02,73,Solo Daños,NO,SI,,4.69079547899997,-74.034008617,2018
2018-01-15,KR 10-CL 16 02,DEI-018/CAM-01,100,Con Heridos,NO,NO,,4.57864004800001,-74.092,2018
2018-01-15,KR 10-CL 16 02,DEI-018/CAM-02,100,Con Heridos,NO,NO,,4.57864004800001,-74.092,2018
2018-01-01,KR 72-CL 37 S 02,DEI-001/CAM-01,102,Solo Daños,NO,NO,,4.61387980900003,-74.140223248,2018
2018-01-01,KR 72-CL 37 S 02,DEI-001/CAM-02,102,Solo Daños,NO,NO,,4.61387980900003,-74.140223248,2018
2018-01-13,AV AVENIDA DEL SUR-CL 60 02,DEI-021/CAM-01,124,Solo Daños,NO,NO,,4.64699999999999,-74.065,2018
2018-01-13,AV AVENIDA DEL SUR-CL 60 02,DEI-021/CAM-02,124,Solo Daños,NO,NO,,4.64699999999999,-74.065,2018
2018-01-01,AV AVENIDA BOYACA-CL 9 2,DEI-002/CAM-01,126,Solo Daños,NO,NO,,4.63,-74.137667694,2018
2018-01-01,AV AVENIDA BOYACA-CL 9 2,DEI-002/CAM-02,126,Solo Daños,NO,NO,,4.63,-74.137667694,2018
2018-01-05,KR 7-CL 113 02,DEI-034/CAM-01,138,Solo Daños,NO,NO,,4.69200000000001,-74.034,2018
2018-01-05,KR 7-CL 113 02,DEI-034/CAM-02,138,Solo Daños,NO,NO,,4.69200000000001,-74.034,2018
2018-01-02,KR 86-CL 43 S 2,DEI-037/CAM-01,146,Solo Daños,NO,NO,,4.62852092700001,-74.171,2018
2018-01-02,KR 86-CL 43 S 2,DEI-037/CAM-02,146,Solo Daños,NO,NO,,4.62852092700001,-74.171,2018
2018-01-04,AV AVENIDA DEL SUR-CL 50 02,DEI-007/CAM-01,152,Solo Daños,NO,NO,,4.66899999999998,-74.109,2018
2018-01-04,CL 80-KR 101 2,DEI-013/CAM-01,169,Solo Daños,NO,NO,,4.71100000000001,-74.113,2018
2018-01-04,CL 80-KR 101 2,DEI-013/CAM-02,169,Solo Daños,NO,NO,,4.71100000000001,-74.113,2018
2018-02-16,KR 86-CL 77A 02,DEI-020/CAM-01,185,Solo Daños,NO,NO,,4.701680345,-74.101854214,2018
